ticker,Date,Price To Book Ratio
AAPL,24-09-2022,48.14034011
AAPL,25-09-2021,38.89286547
AAPL,26-09-2020,29.81826966
AAPL,28-09-2019,11.16694408
AAPL,29-09-2018,10.44011315
AAPL,30-09-2017,5.99850304
AAPL,24-09-2016,4.807960469
AAPL,26-09-2015,5.529512152
AAPL,27-09-2014,5.496529526
AAPL,28-09-2013,3.615604177
AAPL,29-09-2012,5.275546255
AAPL,24-09-2011,4.8773462
AAPL,25-09-2010,5.562839018
AAPL,26-09-2009,5.851500816
AAPL,27-09-2008,5.375908611
AAPL,29-09-2007,9.130889508
AAPL,30-09-2006,6.508005054
AAPL,24-09-2005,5.760642218
AAPL,25-09-2004,2.729854164
AAPL,27-09-2003,1.767032122
AAPL,28-09-2002,1.276185749
AAPL,29-09-2001,1.367442521
AAPL,30-09-2000,2.034964703
AAPL,25-09-1999,2.994932991
AAPL,25-09-1998,3.114470662
AAPL,26-09-1997,2.238911545
AAPL,27-09-1996,1.341512244
AAPL,29-09-1995,1.579976075
AAPL,30-09-1994,1.678289351
AAPL,30-09-1993,1.374165426
AAPL,30-09-1992,2.526898031
AAPL,30-09-1991,3.364340053
AAPL,30-09-1990,2.648496667
AAPL,30-09-1989,3.841314954
AAPL,30-09-1988,5.602038451
AAPL,30-09-1987,8.849729294
AAPL,30-09-1986,3.096862124
AAPL,30-09-1985,1.75096613
AMZN,31-12-2022,5.860438364
AMZN,31-12-2021,12.20424637
AMZN,31-12-2020,17.43463877
AMZN,31-12-2019,14.70887786
AMZN,31-12-2018,16.79623849
AMZN,31-12-2017,20.2586019
AMZN,31-12-2016,18.43082085
AMZN,31-12-2015,23.58343022
AMZN,31-12-2014,13.34900847
AMZN,31-12-2013,18.69967474
AMZN,31-12-2012,13.87257202
AMZN,31-12-2011,10.10884363
AMZN,31-12-2010,11.72202797
AMZN,31-12-2009,11.07992391
AMZN,31-12-2008,8.118053892
AMZN,31-12-2007,31.96350877
AMZN,31-12-2006,38.08668213
AMZN,31-12-2005,78.96666667
AMZN,31-12-2004,-79.12672599
AMZN,31-12-2003,-20.08489951
AMZN,31-12-2002,-5.283266635
AMZN,31-12-2001,-2.736640986
AMZN,31-12-2000,-5.645376588
AMZN,31-12-1999,93.50595468
AMZN,31-12-1998,114.4836816
AMZN,31-12-1997,45.77066981
AMZN,31-12-1996,111.356588
META,31-12-2022,2.572157056
META,31-12-2021,7.581941319
META,31-12-2020,6.070458804
META,31-12-2019,5.796737433
META,31-12-2018,4.503311696
META,31-12-2017,6.885421928
META,31-12-2016,5.564553038
META,31-12-2015,6.63444711
META,31-12-2014,5.650052127
META,31-12-2013,8.548998128
META,31-12-2012,4.542723983
META,31-12-2011,18.88479296
META,31-12-2010,42.79213725
MSFT,30-06-2022,11.55983283
MSFT,30-06-2021,14.39897949
MSFT,30-06-2020,13.09094452
MSFT,30-06-2019,10.17367966
MSFT,30-06-2018,9.179344278
MSFT,30-06-2017,7.37535956
MSFT,30-06-2016,5.632488159
MSFT,30-06-2015,4.50800482
MSFT,30-06-2014,3.854454023
MSFT,30-06-2013,3.645178861
MSFT,30-06-2012,3.870133056
MSFT,30-06-2011,3.867000683
MSFT,30-06-2010,4.391708284
MSFT,30-06-2009,5.374959553
MSFT,30-06-2008,7.071963843
MSFT,30-06-2007,9.232297006
MSFT,30-06-2006,6.064367644
MSFT,30-06-2005,5.595775953
MSFT,30-06-2004,4.123403675
MSFT,30-06-2003,4.505698284
MSFT,30-06-2002,5.455729398
MSFT,30-06-2001,8.244898391
MSFT,30-06-2000,10.03480951
MSFT,30-06-1999,15.94566249
MSFT,30-06-1998,15.8518073
MSFT,30-06-1997,15.38498655
MSFT,30-06-1996,11.33178886
MSFT,30-06-1995,10.62537596
MSFT,30-06-1994,7.07668649
MSFT,30-06-1993,8.083744602
MSFT,30-06-1992,8.829051243
MSFT,30-06-1991,9.260844527
MSFT,30-06-1990,9.166471811
MSFT,30-06-1989,4.468034745
MSFT,30-06-1988,7.676157683
MSFT,30-06-1987,10.65019126
MSFT,30-06-1986,5.627820462
NFLX,31-12-2022,6.311306512
NFLX,31-12-2021,16.84460349
NFLX,31-12-2020,21.5467313
NFLX,31-12-2019,18.68315605
NFLX,31-12-2018,22.24421306
NFLX,31-12-2017,23.14507621
NFLX,31-12-2016,19.81049466
NFLX,31-12-2015,21.90906458
NFLX,31-12-2014,11.04761005
NFLX,31-12-2013,16.06732039
NFLX,31-12-2012,6.90326188
NFLX,31-12-2011,5.696518722
NFLX,31-12-2010,31.80734102
NFLX,31-12-2009,15.64649724
NFLX,31-12-2008,5.24873411
NFLX,31-12-2007,4.145298637
NFLX,31-12-2006,3.906819176
NFLX,31-12-2005,6.401986843
NFLX,31-12-2004,4.101544265
NFLX,31-12-2003,23.18792034
NFLX,31-12-2002,1.737576265
NFLX,31-12-2001,0
NFLX,31-12-2000,0
NVDA,29-01-2023,21.56277725
NVDA,30-01-2022,22.96597625
NVDA,31-01-2021,19.33872965
NVDA,26-01-2020,11.98638151
NVDA,27-01-2019,8.982025262
NVDA,28-01-2018,19.79161424
NVDA,29-01-2017,10.32988893
NVDA,31-01-2016,3.560058179
NVDA,25-01-2015,2.57718246
NVDA,26-01-2014,2.039500462
NVDA,27-01-2013,1.617679389
NVDA,29-01-2012,2.154982049
NVDA,30-01-2011,4.324500447
NVDA,31-01-2010,3.416871601
NVDA,31-01-2009,1.819722323
NVDA,31-01-2008,5.16715448
NVDA,28-01-2007,5.296794539
NVDA,29-01-2006,5.320630722
NVDA,30-01-2005,3.228670317
NVDA,31-01-2004,3.404570989
NVDA,26-01-2003,1.648389594
NVDA,27-01-2002,12.72085068
NVDA,28-01-2001,8.213442232
NVDA,30-01-2000,8.852616923
NVDA,31-01-1999,4.395591768
TSLA,31-12-2022,8.62458393
TSLA,31-12-2021,34.51538905
TSLA,31-12-2020,29.62384777
TSLA,31-12-2019,11.21363413
TSLA,31-12-2018,11.52711846
TSLA,31-12-2017,12.17981795
TSLA,31-12-2016,6.483744863
TSLA,31-12-2015,28.25657345
TSLA,31-12-2014,30.38928897
TSLA,31-12-2013,26.9282612
TSLA,31-12-2012,29.15726247
TSLA,31-12-2011,12.79700309
TSLA,31-12-2010,6.523139673
TSLA,31-12-2009,-7.321406811
TSLA,31-12-2008,-16.30828017
TSLA,31-12-2007,-27.63769551
